PSRJ,omgc_dot,omgc_0,logq_taueff,logq_tau,logq_ratio,logq_TN,logq_Qs,logq_Qc,log_tau-dist,log_ratio-dist,log_evidence_WTNnullHypothesis,log_evidence_2Cmpnt,log_Qs-dist,log_Qc-dist,Tobs,TSTART,TFINISH,NTOAs,logBF_2Cmpnt_vs_WTNnullHypothesis,logBF_per_TOA_2Cmpnt_vs_WTNnullHypothesis
J1057-5226,-9.437618295737072e-13,31.87582216888282,"[6.740767982520902, 3.3761896947870964, 8.452036539159801]","[6.693911991875817, 3.5147067016595384, 7.90748284093625]","[-0.7583579894678236, -2.9765698400887604, 2.1740136542916537]","[-2.8312057614324857, -3.0548938515599176, -1.808550774368318]","[-22.093073918654895, -25.574890989895508, -18.10147152331029]","[-24.152111227500757, -28.001958857310957, -23.002932662883097]",pky,-,108.13385937978312,388.61610543940213,pky,pky,1288.49243404375,57134.44107287231,58422.93350691606,126,280.482246059619,2.226049571901738
J1057-7914,-4.577195175970214e-15,4.663179310558859,"[5.335071777002009, 2.623551061612194, 7.972763570139781]","[5.438199277537774, 3.1170153100452143, 7.933778697495593]","[-0.5181709079861525, -3.0332679940327014, 2.5377925346533377]","[-3.1748962069231794, -4.092299910423362, -2.5825820026466815]","[-24.649029901684308, -27.89327690843374, -20.980639493672367]","[-24.997550629757324, -28.002453173360294, -23.84637409183429]",-,-,106.18322503759781,107.12332156824091,pky,pky,1011.1731759532486,57407.76149760227,58418.934673555515,41,0.9400965306431033,0.02292918367422203
J1059-5742,-1.9267564942902976e-14,5.302254873699986,"[4.630701311578999, 2.2821978621194186, 7.557643949450337]","[5.075081453406704, 3.107005868887563, 7.727362952670353]","[-0.4140576851232915, -3.082042949345273, 2.796453603031615]","[-4.30352290624603, -5.255664712637318, -3.6404095902145674]","[-25.90042782854895, -28.40826182248307, -22.298781517106423]","[-25.71722412606723, -27.634447977543473, -23.561906928404024]",-,-,663.5930628890992,664.474230910725,pky,pky,1131.7654308041601,57291.162873083886,58422.928303888046,178,0.8811680216258537,0.00495038214396547
J1105-6107,-2.4925681111734836e-11,99.41465215154857,"[5.754722462886981, 2.935746887681875, 7.759541720032599]","[5.919621412801267, 3.2660229044447227, 7.886219014717535]","[-0.879434602346385, -2.9122971302803062, 2.0845693046975953]","[-1.8229639933101254, -1.9799951356391259, -1.6043620268121814]","[-20.718232193126692, -26.319763747655756, -18.007752120639253]","[-20.854861219740435, -25.191051422842428, -20.62098451744561]",-,-,-207.48241122470642,210.2243879189764,pky,pky,1062.158020067931,57360.78175514841,58422.93977521634,145,417.7067991436828,2.880736545818502
J1110-5637,-4.152638689663831e-14,11.255059025825123,"[5.73359931254079, 2.8075352095505317, 8.30740511443296]","[5.5918272097446415, 3.1341225990293147, 8.19385668006141]","[-1.251808121816428, -3.193881681989389, 1.954707709863775]","[-3.787592676862806, -4.051664880531508, -2.986751717924336]","[-23.83505325457599, -26.979185281172473, -19.659727111913426]","[-24.98354316452288, -27.982087750139595, -24.438777306429454]",-,-,426.90631059229173,484.341606098889,pky,pky,1130.1251475153695,57291.81438156637,58421.93952908174,130,57.43529550659724,0.4418099654353634
J1112-6613,-4.64171857016261e-14,18.79989657604778,"[5.52324133282427, 2.886673151225069, 7.859546907187693]","[5.7680921570171, 3.201406232569833, 7.782117521737249]","[-0.20126929556755796, -2.8518373234774708, 2.527072381710577]","[-3.2919332950237425, -3.6239588669764635, -2.949259407884775]","[-23.60866571666259, -27.16201775966598, -20.41276569024402]","[-23.79358128226267, -27.063774081728397, -23.233919236458856]",-,-,239.77060371720796,270.1654893873242,pky,pky,1045.1280433522552,57360.86172749597,58405.989770848224,96,30.394885670116253,0.3166133923970443
J1112-6926,-2.6335851664079847e-14,7.657867625385739,"[6.3175620386132625, 3.102287797194116, 8.368681084554451]","[6.464502398488954, 3.3577947023368577, 8.00981080391161]","[-0.11004671851740287, -2.8905320415150877, 2.609848916161882]","[-4.289585241833189, -5.234781747295635, -3.639585300218294]","[-25.452263027104888, -28.300727217096416, -21.823647796893937]","[-26.052383224988844, -28.61648296680499, -24.990306139259108]",rr,-,288.76623725874816,291.34141721618454,pky,pky,1146.8293941658703,57360.874717777464,58507.704111943334,97,2.575179957436376,0.026548246983880162
J1114-6100,-3.7255007886138664e-13,7.133028198344149,"[4.990067776116072, 2.190977188174989, 7.778793497121711]","[5.239731221470396, 3.1031311979182994, 7.8461791737012945]","[-0.2716184091534102, -2.9586937895960537, 2.7752027892907845]","[-2.671178991031905, -3.25671126960854, -2.026955266743388]","[-23.721699671343355, -27.62583442189042, -20.09375975411536]","[-23.726114071461186, -26.859095990136357, -21.902447382835717]",-,-,213.38234380558563,221.85026969472474,pky,pky,873.4439312141694,57549.49583424609,58422.93976546026,137,8.46792588913911,0.06180967802291321
J1116-4122,-5.626773072336369e-14,6.6618168517042875,"[6.383478041480766, 3.188870753506033, 8.303121442123347]","[6.533567068484171, 3.3897833560366633, 8.005769699983187]","[0.03513428151146955, -2.8651587307478623, 2.644205293000942]","[-4.548535154373003, -5.15819162471133, -3.9494310608567536]","[-25.86042570026321, -28.298911836392094, -22.31326670863067]","[-26.3986863352179, -28.61892220824011, -25.55882793346281]",rr,-,167.95948175037276,178.86522803369476,pky,pky,1257.5480347484045,57163.400525162855,58420.94855991126,47,10.905746283322003,0.23203715496429794
J1121-5444,-6.110859786339244e-14,11.727032715856618,"[6.987892908870461, 4.083789439246267, 8.636293702981206]","[6.757496375590613, 4.089929200565431, 7.74934077986022]","[-0.40405556581764684, -2.855666738723622, 2.408918111380016]","[-2.439676529958266, -2.758169578743957, -1.4023703564639531]","[-22.213661948823745, -23.899578669013902, -18.34095833949485]","[-25.556324527471094, -28.527718616704103, -23.403843810126972]",pky,-,246.161241678125,430.47070314965,pky,pky,1062.0541807260888,57360.89100440565,58422.945185131735,117,184.30946147152497,1.5752945424916664
