F0,F1,F2,EFAC,EQUAD,RedAmp,RedSlope,sigma_RN
2.6672304413581345,-9.796457415430489e-15,-4.071643523729858e-24,0.3105410062424554,-3.996511714530514,-10.44993716061719,11.067766810700292,-7.667060676657155
2.667230441193911,-9.797122144224857e-15,-3.8236562469038805e-24,0.34487941134610445,-4.016232092746177,-9.869437558895207,4.808185545426994,-8.81679994817286
2.667230441548785,-9.79296912304815e-15,-4.453027640838224e-24,0.31171016714772737,-4.073887737919363,-10.450205581910364,9.015173304695855,-8.234695655637964
2.6672304411697096,-9.806069008128184e-15,-3.523952680962869e-24,0.272759887299896,-3.8693597145228296,-9.97874790210906,5.115595701769163,-8.841137674211485
2.6672304414243504,-9.794645129922321e-15,-4.197640422700927e-24,0.38913037325373656,-4.209922141780758,-10.394529498749886,6.573239852190582,-8.854005327327283
2.6672304411294965,-9.804660716937183e-15,-3.5185884884851505e-24,0.40275938531215694,-4.070263212087854,-10.976296998694345,9.77424493181896,-8.550968686628876
2.667230440680643,-9.823043556287298e-15,-2.3734467622717976e-24,0.12347724975723051,-3.8372058740970685,-10.442864810909573,8.191832824354872,-8.454938111793176
2.6672304413078294,-9.800862003412485e-15,-3.8844677789461384e-24,0.3709593798104813,-4.201467318999108,-10.02777676810117,6.487616213089241,-8.510920209984125
2.667230441236856,-9.801802405299882e-15,-3.753261123670142e-24,0.2526301639735027,-4.027212092610882,-10.60212379896144,8.73659781294508,-8.463616171170653
2.6672304415249215,-9.786967544782012e-15,-4.568287388762644e-24,0.302647343791967,-3.935439973133618,-10.441641587882955,8.908848136134468,-8.255521477326994
2.66723044099052,-9.8030351349593e-15,-3.326609911920318e-24,0.32351864050107926,-4.113463934730734,-10.007965287633692,4.4809101150516675,-9.045791343392118
2.667230441346156,-9.800896516202404e-15,-3.925457289235261e-24,0.42533642260635274,-4.22927682936737,-10.067051048132473,5.056000597319578,-8.94591376978272
2.6672304414105152,-9.793002701059108e-15,-4.209446830900378e-24,0.133861330448928,-3.8229065884480127,-9.951504306574618,6.2783160528033015,-8.49250134251676
2.66723044101909,-9.802114925454263e-15,-3.405842646232288e-24,0.3086990040495734,-3.9097106548468954,-10.546580153766854,9.014931160424,-8.33113715967639
2.6672304406866703,-9.817134091731849e-15,-2.551759432068838e-24,0.38683487170679465,-4.104956187855899,-9.960463414057202,5.007695710327696,-8.852678305716708
2.6672304415396546,-9.784949033952363e-15,-4.621689688792359e-24,0.3315468733712441,-4.042720441020299,-10.181219990032616,8.252192964483742,-8.176608874432254
2.6672304409793144,-9.803432357054667e-15,-3.333795857439475e-24,0.40409107461722593,-4.207577139837192,-10.142733616986636,4.5907946994702895,-9.15018598296082
2.667230440636109,-9.818421117385631e-15,-2.407086454607608e-24,0.30339828203600083,-3.966872185039695,-10.479730104267432,9.20675489273205,-8.211264253793548
